"country";"80-and-over";"status"
"Belgium";5,7;"EU"
"Bulgaria";4,9;"EU"
"Czechia";4,1;"EU"
"Denmark";4,7;"EU"
"Germany ";6,8;"EU"
"Estonia";5,8;"EU"
"Ireland";3,4;"EU"
"Greece";7,2;"EU"
"Spain";6;"EU"
"France";6,2;"EU"
"Croatia";5,5;"EU"
"Italy";7,4;"EU"
"Cyprus";3,8;"EU"
"Latvia";5,8;"EU"
"Lithuania";5,9;"EU"
"Luxembourg";4;"EU"
"Hungary";4,5;"EU"
"Malta";4,2;"EU"
"Netherlands";4,7;"EU"
"Austria";5,3;"EU"
"Poland";4,4;"EU"
"Portugal";6,6;"EU"
"Romania";4,8;"EU"
"Slovenia";5,4;"EU"
"Slovakia";3,4;"EU"
"Finland";5,7;"EU"
"Sweden";5,2;"EU"
"Iceland";3,5;"ESVO"
"Liechtenstein";3,9;"ESVO"
"Norway";4,3;"ESVO"
"Switzerland";5,3;"ESVO"
"Montenegro";3,4;"Candidates"
"North Macedonia";2,6;"Candidates"
"Albania";2,9;"Candidates"
"Serbia";4,7;"Candidates"
"Turkey";1,8;"Candidates"
