"","Jména.ženská","Poèet"
"1","Eliška",2219
"2","Tereza",1915
"3","Anna",1765
"4","Adéla",1530
"5","Natálie",1382
"6","Ema",1274
"7","Viktorie",1246
"8","Sofie",1238
"9","Karolína",1187
"10","Kristýna",1017
"11","Barbora",1016
"12","Veronika",987
"13","Nela",978
"14","Lucie",895
"15","Julie",848
"16","Laura",838
"17","Kateøina",782
"18","Marie",777
"19","Emma",764
"20","Klára",741
"21","Aneta",692
"22","Amálie",664
"23","Rozálie",602
"24","Anežka",582
"25","Zuzana",558
"26","Nikol",491
"27","Nikola",490
"28","Sára",485
"29","Ella",448
"30","Michaela",446
"31","Gabriela",413
"32","Markéta",396
"33","Magdaléna",354
"34","Alžbìta",348
"35","Elena",342
"36","Vanesa",329
"37","Adriana",304
"38","Linda",296
"39","Stella",273
"40","Jana",267
"41","Sabina",264
"42","Liliana",258
"43","Štìpánka",253
"44","Denisa",251
"45","Hana",251
"46","Nina",249
"47","Elen",248
"48","Valerie",244
"49","Eva",236
"50","Agáta",227
"51","Johana",227
"52","Stela",226
"53","Beáta",224
"54","Dominika",224
"55","Simona",218
"56","Ester",214
"57","Leontýna",211
"58","Mia",211
"59","Andrea",202
"60","Klaudie",200
"61","Daniela",194
"62","Monika",192
"63","Izabela",185
"64","Vendula",180
"65","Magdalena",177
"66","Josefína",173
"67","Alice",169
"68","Terezie",166
"69","Alena",165
"70","Mariana",163
"71","Nella",162
"72","Helena",157
"73","Valentýna",154
"74","Lenka",148
"75","Šárka",142
"76","Petra",140
"77","Vanessa",137
"78","Diana",136
"79","Antonie",134
"80","Emílie",134
"81","Rozárie",133
"82","Ellen",131
"83","Emily",129
"84","Jasmína",129
"85","Justýna",129
"86","Bára",127
"87","Martina",127
"88","Alexandra",122
"89","Patricie",120
"90","Šarlota",119
"91","Zoe",109
"92","Ela",108
"93","Elizabeth",103
"94","Evelína",103
"95","Miriam",98
"96","Sofia",96
"97","Nicol",94
"98","Lea",93
"99","Žofie",92
"100","Dorota",89
